cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
53;2;2020;2020-02-01;20;3;Mesquita;3302858;Baixada Fluminense;4;0;0;4;4;8;5;58;3;1;21;79;63;17;159;45;11;6;1;0;0;0;0;13;235;9;7;3;7;22;48;0;0;0;25;12;0;12;0;32;37;3;7;4;54;7;1;0;0;0;577;3
54;2;2020;2020-02-01;39;3;Belford Roxo;3300456;Baixada Fluminense;16;0;0;16;9;25;17;119;17;2;24;165;62;68;295;260;17;3;1;0;0;0;3;48;627;17;5;0;11;54;87;0;0;0;42;19;4;16;0;134;53;6;20;3;102;9;0;0;0;0;1373;3
55;2;2020;2020-02-01;24;3;Queimados;3304144;Baixada Fluminense;4;0;0;4;2;6;3;51;10;0;14;27;13;4;44;16;1;2;2;0;0;0;1;4;70;3;7;1;4;39;55;0;0;0;22;4;2;2;0;11;16;1;11;0;44;9;0;0;0;0;376;3
56;2;2020;2020-02-01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;8;0;0;8;3;11;6;103;9;4;34;93;58;32;183;40;5;3;6;0;0;0;2;33;272;23;6;1;5;31;67;0;1;0;21;6;2;4;0;25;28;6;4;0;67;6;1;0;0;0;684;3
57;2;2020;2020-02-01;20;3;Nilópolis;3303203;Baixada Fluminense;2;0;0;2;1;3;15;54;5;2;11;121;38;3;162;56;3;7;1;0;0;0;2;23;254;11;14;1;2;40;71;0;0;0;40;5;0;5;0;18;31;7;2;0;59;5;0;0;0;0;623;3
58;2;2020;2020-02-01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;13;0;0;13;0;13;5;180;13;0;35;95;63;26;184;78;8;9;2;0;0;0;0;28;309;20;3;0;10;39;72;0;2;0;14;6;3;3;0;12;42;2;20;2;125;10;0;0;0;0;870;3
59;2;2020;2020-02-01;15;3;Duque de Caxias;3301702;Baixada Fluminense;4;0;1;5;3;8;4;116;18;4;49;269;77;78;424;152;26;5;1;0;0;0;0;35;643;40;48;10;19;97;214;0;1;0;93;15;11;4;0;114;33;3;21;2;100;4;1;0;0;0;1645;3
60;2;2020;2020-02-01;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;0;14;5;19;4;85;7;3;24;115;27;52;194;92;13;4;1;0;0;0;0;24;328;22;2;3;6;35;68;0;1;0;21;9;0;9;0;25;49;7;28;5;69;7;0;0;0;0;794;3
61;2;2020;2020-02-01;15;3;Duque de Caxias;3301702;Baixada Fluminense;1;0;0;1;0;1;0;22;6;0;7;6;2;0;8;4;2;0;0;0;0;0;0;4;18;4;1;0;1;10;16;0;0;0;2;0;0;0;0;3;5;0;3;0;10;0;0;0;0;0;88;3
62;2;2020;2020-02-01;15;3;Duque de Caxias;3301702;Baixada Fluminense;4;0;0;4;3;7;21;59;4;2;12;69;27;8;104;52;8;2;0;0;0;0;0;16;183;12;9;1;5;12;39;0;1;0;13;9;0;8;1;21;24;3;1;0;36;5;0;0;0;0;429;3
